timestamp_utc,state,capital,latitude,longitude,temp_c_now,precip_mm_now,cloud_pct_now,wind_kmh_now,pressure_hpa_now,tomorrow_temp_min_c,tomorrow_temp_max_c,tomorrow_precip_sum_mm,tomorrow_precip_prob_max,rain_tomorrow_pred
2026-01-10T21:02:03+00:00,South Dakota,Pierre,44.367966,-100.336378,-0.3,0.0,93,18.1,969.1,-6.0,12.1,0.0,1,NO
2026-01-10T21:02:03+00:00,Tennessee,Nashville,36.165,-86.784,10.1,0.0,100,18.7,998.1,-0.8,6.8,0.0,1,NO
2026-01-10T21:02:03+00:00,Texas,Austin,30.266667,-97.75,14.1,0.0,100,28.4,1012.2,2.9,18.8,0.0,0,NO
2026-01-10T21:02:03+00:00,Utah,Salt Lake City,40.7547,-111.892622,4.5,0.0,1,10.0,886.4,-4.2,7.5,0.0,0,NO
2026-01-10T21:02:03+00:00,Vermont,Montpelier,44.26639,-72.57194,2.1,0.0,100,7.1,995.7,-2.2,2.2,11.4,86,YES
2026-01-10T21:02:03+00:00,Virginia,Richmond,37.54,-77.46,17.1,0.6,100,10.5,1006.1,2.0,16.9,1.4,39,YES
2026-01-10T21:02:03+00:00,Washington,Olympia,47.042418,-122.893077,9.1,0.0,100,8.0,1028.0,6.7,10.2,13.32,70,YES
2026-01-10T21:02:03+00:00,West Virginia,Charleston,38.349497,-81.633294,14.9,0.0,100,12.2,989.4,-0.4,13.1,3.3,56,YES
2026-01-10T21:02:03+00:00,Wisconsin,Madison,43.074722,-89.384444,-0.1,0.0,80,21.1,981.1,-7.4,-1.7,0.1,5,NO
2026-01-10T21:02:03+00:00,Wyoming,Cheyenne,41.145548,-104.802042,4.1,0.0,100,36.2,822.7,-5.9,11.1,0.0,1,NO
