timestamp,model_type,model_path,feature_columns_path,train_file,val_file,train_sha256,val_sha256,accuracy,f1,precision,recall,class_weight,solver,max_iter,tn,fp,fn,tp
20260109-221847,LogisticRegression,models\logreg_rain_20260109-221847.joblib,models\feature_columns_20260109-221847.json,data/raw/rain_supervised_train.csv,data/raw/rain_supervised_val.csv,a02ec2ab2fe6d1c4188083404051e249a55ea58282ef26cc88a674c8b0b9cb05,7040408503c615433b1d2a35996bc59d811e872026d23a2313015f4e36652ca4,0.9009,0.8582057518958364,0.8707897793263647,0.8459802538787023,,,,,,,
20260110-122956,LogisticRegression,models\logreg_rain_20260110-122956.joblib,models\feature_columns_20260110-122956.json,data/processed/real_rain_train_lag.csv,data/processed/real_rain_val_lag.csv,c41e1eb95cd58200849468fa92c9dc1ad39a7365384fdb442f08a3e6c3fb0ec3,22d281d12165caef3e689fa22c0452c522fdadc85a3510efcb1232c5cc35e46b,0.7321428571428571,0.0816326530612244,1.0,0.0425531914893617,,,,,,,
20260110-124820,LogisticRegression,models/logreg_rain_20260110-124820.joblib,models/feature_columns_20260110-124820.json,data/processed/real_rain_train_lag.csv,data/processed/real_rain_val_lag.csv,c41e1eb95cd58200849468fa92c9dc1ad39a7365384fdb442f08a3e6c3fb0ec3,22d281d12165caef3e689fa22c0452c522fdadc85a3510efcb1232c5cc35e46b,0.6130952380952381,0.4657534246575342,0.3794642857142857,0.6028368794326241,balanced,lbfgs,2000.0,224.0,139.0,56.0,85.0
